"year","sample_size","employment","members","covered","p_members","p_covered","facet"
1973,49095,75519.291200001,18088.5699299999,NA,0.239522501826286,NA,"all wage and salary workers"
1974,48245,77101.0979300015,18176.4750300001,NA,0.235748589038849,NA,"all wage and salary workers"
1975,46488,75703.92288,16778.27992,NA,0.22163026034832,NA,"all wage and salary workers"
1976,47648,78776.9419500004,17402.9849,NA,0.220914706587791,NA,"all wage and salary workers"
1977,57191,81334.1274300011,19335.1007700001,21534.59938,0.237724334001541,0.264767080545425,"all wage and salary workers"
1978,57321,84966.0800699994,19548.3516699999,21897.5362099999,0.230072423815727,0.257720917463303,"all wage and salary workers"
1979,58080,87116.5739300008,20986.1478400001,23540.0774200001,0.240897297859192,0.270213544368744,"all wage and salary workers"
1980,68594,87479.5036999996,20095.26239,22493.3734299999,0.229713946580887,0.257127344608307,"all wage and salary workers"
1981,15433,89538.0488,19137.32052,21453.08392,0.213733941316605,0.239597409963608,"all wage and salary workers"
1983,173932,88289.5167000011,17717.3789616667,20532.1458699999,0.200673639774323,0.232554748654366,"all wage and salary workers"
1984,177248,92194.1619775025,17339.7629308334,19931.5190525002,0.188078746199608,0.216190680861473,"all wage and salary workers"
1985,180232,94520.5239216672,16996.1007975,19358.1224233332,0.179813861846924,0.204803377389908,"all wage and salary workers"
1986,179147,96902.5510824996,16975.1797375,19277.8486524999,0.175177842378616,0.198940575122833,"all wage and salary workers"
1987,180434,99302.7461049994,16913.0643599999,19050.9572525,0.170318201184273,0.191847234964371,"all wage and salary workers"
1988,173118,101407.448106667,17001.6645808335,19241.3221275001,0.16765695810318,0.189742684364319,"all wage and salary workers"
1989,176411,103479.628248333,16960.4515558333,19197.5608275,0.16390135884285,0.185520201921463,"all wage and salary workers"
1990,185030,104875.543958335,16775.9702525,19105.1128866666,0.159960746765137,0.182169377803802,"all wage and salary workers"
1991,179560,103722.607225834,16611.8247166667,18789.8570966667,0.160156264901161,0.181154891848564,"all wage and salary workers"
1992,176846,104668.286272502,16418.2366508333,18578.4659158333,0.156859710812569,0.177498519420624,"all wage and salary workers"
1993,174595,106101.269348333,16627.4705083334,18682.4417158334,0.156713202595711,0.176081225275993,"all wage and salary workers"
1994,170804,107987.75679541,16740.3480006916,18842.4781062417,0.15502080321312,0.174487173557281,"all wage and salary workers"
1995,170307,110038.123638408,16359.58928125,18346.3256636332,0.148672014474869,0.166726991534233,"all wage and salary workers"
